
Apple Inc.,Last: 239.7001,Change:  0.84
Date: 18 сентября 2025 г. в 02:14 GMT-4,Bid: 0,Ask: 0,Size: 0*0,Volume: 46 508 017
Expiration Date,Calls,Last Sale,Net,Bid,Ask,Volume,IV,Delta,Gamma,Open Interest,Strike,Puts,Last Sale,Net,Bid,Ask,Volume,IV,Delta,Gamma,Open Interest
Fri Sep 19 2025,AAPL250919C00232500,6.75,-0.35,6.7,7,1597,0.3104,0.8757,0.0358,12526,232.50,AAPL250919P00232500,0.37,-0.095,0.32,0.34,8438,0.3223,-0.1245,0.0359,8639
Fri Sep 19 2025,AAPL250919C00235000,4.65,-0.35,4.65,4.8,7860,0.289,0.7787,0.0564,31085,235.00,AAPL250919P00235000,0.64,-0.255,0.62,0.64,27192,0.2952,-0.2222,0.0568,14306
Fri Sep 19 2025,AAPL250919C00237500,2.75,-0.475,2.79,2.85,12571,0.2729,0.6214,0.0775,12152,237.50,AAPL250919P00237500,1.25,-0.38,1.21,1.25,41986,0.2736,-0.3813,0.0785,4795
Fri Sep 19 2025,AAPL250919C00240000,1.44,-0.455,1.41,1.44,75932,0.2619,0.4166,0.0836,55098,240.00,AAPL250919P00240000,2.35,-0.455,2.31,2.36,17821,0.2619,-0.5894,0.085,9380
Fri Sep 19 2025,AAPL250919C00242500,0.64,-0.38,0.61,0.64,42407,0.2607,0.2294,0.065,25331,242.50,AAPL250919P00242500,4.12,-0.33,3.95,4.1,1424,0.2611,-0.7797,0.066,957
Fri Sep 19 2025,AAPL250919C00245000,0.27,-0.245,0.25,0.27,46727,0.2716,0.1135,0.0394,60266,245.00,AAPL250919P00245000,6.41,-0.04,6.05,6.45,1088,0.2813,-0.8969,0.04,4637
Fri Sep 26 2025,AAPL250926C00232500,7.83,-0.32,7.9,8,450,0.2412,0.7756,0.0327,1434,232.50,AAPL250926P00232500,1.25,-0.1,1.12,1.21,6327,0.2432,-0.2268,0.0331,1825
Fri Sep 26 2025,AAPL250926C00235000,6.05,-0.25,6,6.15,1198,0.2336,0.6891,0.0399,5423,235.00,AAPL250926P00235000,1.85,-0.145,1.71,1.79,4988,0.235,-0.3146,0.0404,3322
Fri Sep 26 2025,AAPL250926C00237500,4.24,-0.435,4.35,4.45,2277,0.2273,0.5845,0.0453,3542,237.50,AAPL250926P00237500,2.66,-0.23,2.53,2.71,2510,0.228,-0.4207,0.0459,1011
Fri Sep 26 2025,AAPL250926C00240000,3,-0.325,3,3.15,15477,0.223,0.4686,0.0472,14402,240.00,AAPL250926P00240000,3.88,-0.17,3.65,3.8,2339,0.2219,-0.5384,0.048,1697
Fri Sep 26 2025,AAPL250926C00242500,1.95,-0.345,1.95,2.02,7047,0.2198,0.3524,0.0448,4080,242.50,AAPL250926P00242500,5.28,-0.27,4.9,5.25,203,0.2199,-0.6566,0.0456,612
Fri Sep 26 2025,AAPL250926C00245000,1.19,-0.335,1.2,1.25,7242,0.2187,0.2488,0.0385,11619,245.00,AAPL250926P00245000,6.99,-0.285,6.4,7.05,1858,0.2174,-0.7621,0.0393,595
